시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,노원구,월계3동,29708,8707,10988,13380,15542,17818,29.31,36.99,45.04,52.32,59.98
서울특별시,노원구,공릉1동,36722,9761,12438,15319,17945,20592,26.58,33.87,41.72,48.87,56.08
서울특별시,노원구,공릉2동,41780,8555,11332,14887,18247,21584,20.48,27.12,35.63,43.67,51.66
서울특별시,노원구,하계1동,27206,6753,8901,11628,13909,15516,24.82,32.72,42.74,51.12,57.03
서울특별시,노원구,하계2동,21800,4892,6638,8777,10813,12503,22.44,30.45,40.26,49.60,57.35
서울특별시,노원구,중계본동,23822,4041,5889,8570,11379,13268,16.96,24.72,35.98,47.77,55.70
서울특별시,노원구,중계1동,26637,3811,5464,8416,12037,14572,14.31,20.51,31.60,45.19,54.71
서울특별시,노원구,중계4동,19784,5502,7114,9118,11000,12353,27.81,35.96,46.09,55.60,62.44
서울특별시,노원구,중계2.3동,33896,10190,12687,15811,18732,21160,30.06,37.43,46.65,55.26,62.43
서울특별시,노원구,상계1동,37882,10736,13967,17592,20405,23006,28.34,36.87,46.44,53.86,60.73
서울특별시,노원구,상계2동,19857,5227,7066,9058,10662,11913,26.32,35.58,45.62,53.69,59.99
서울특별시,노원구,상계3.4동,25933,8585,10838,13222,15183,16910,33.10,41.79,50.99,58.55,65.21
서울특별시,노원구,상계5동,23839,7284,9358,11721,13662,15084,30.55,39.26,49.17,57.31,63.27
서울특별시,노원구,상계6.7동,32431,7508,10015,13147,15878,18392,23.15,30.88,40.54,48.96,56.71
서울특별시,노원구,상계8동,22438,4265,5543,7323,9039,11089,19.01,24.70,32.64,40.28,49.42
서울특별시,노원구,상계9동,20263,5096,6680,8661,10404,11878,25.15,32.97,42.74,51.34,58.62
서울특별시,노원구,상계10동,18562,4218,5636,7437,8937,10310,22.72,30.36,40.07,48.15,55.54
서울특별시,은평구,녹번동,36747,10034,12865,15942,18570,21443,27.31,35.01,43.38,50.53,58.35
서울특별시,은평구,불광제1동,38444,11113,14294,17722,20604,23369,28.91,37.18,46.10,53.59,60.79
서울특별시,은평구,불광제2동,27397,8584,10865,13307,15157,16874,31.33,39.66,48.57,55.32,61.59
서울특별시,은평구,갈현제1동,21572,6426,8231,10180,11801,13154,29.79,38.16,47.19,54.71,60.98
서울특별시,은평구,갈현제2동,28094,7260,9453,12024,14386,16449,25.84,33.65,42.80,51.21,58.55
서울특별시,은평구,구산동,32095,8972,11646,14580,17224,19474,27.95,36.29,45.43,53.67,60.68
서울특별시,은평구,대조동,26875,7263,9220,11456,13397,15258,27.03,34.31,42.63,49.85,56.77
서울특별시,은평구,응암제1동,32996,7446,9655,12381,15089,17936,22.57,29.26,37.52,45.73,54.36
서울특별시,은평구,응암제2동,28069,5762,7487,9629,12147,15143,20.53,26.67,34.30,43.28,53.95
서울특별시,은평구,응암제3동,24304,7788,9781,11815,13586,15152,32.04,40.24,48.61,55.90,62.34
서울특별시,은평구,역촌동,45265,12207,15852,19798,23476,27107,26.97,35.02,43.74,51.86,59.89
서울특별시,은평구,신사제1동,26922,7397,9414,11751,13865,15864,27.48,34.97,43.65,51.50,58.93
서울특별시,은평구,신사제2동,19933,5657,7275,9016,10531,11993,28.38,36.50,45.23,52.83,60.17
서울특별시,은평구,증산동,14968,4554,5776,7074,8213,9263,30.42,38.59,47.26,54.87,61.89
서울특별시,은평구,수색동,13184,3402,4517,5742,6642,7595,25.80,34.26,43.55,50.38,57.61
서울특별시,은평구,진관동,55394,12162,15866,20951,26406,30992,21.96,28.64,37.82,47.67,55.95
서울특별시,서대문구,천연동,16994,4526,5939,7546,8910,10137,26.63,34.95,44.40,52.43,59.65
서울특별시,서대문구,북아현동,15824,3326,4627,6014,7145,8534,21.02,29.24,38.01,45.15,53.93
서울특별시,서대문구,충현동,20324,5011,6596,8265,9736,11214,24.66,32.45,40.67,47.90,55.18
서울특별시,서대문구,신촌동,20120,2922,3827,4872,5844,6823,14.52,19.02,24.21,29.05,33.91
서울특별시,서대문구,연희동,34792,8289,10603,13416,15705,18067,23.82,30.48,38.56,45.14,51.93
서울특별시,서대문구,홍제제1동,23478,6516,8406,10542,12381,14056,27.75,35.80,44.90,52.73,59.87
서울특별시,서대문구,홍제제3동,17339,5300,6669,8281,9516,10608,30.57,38.46,47.76,54.88,61.18
서울특별시,서대문구,홍제제2동,13601,4031,5207,6463,7454,8337,29.64,38.28,47.52,54.80,61.30
서울특별시,서대문구,홍은제1동,22667,6560,8495,10561,12236,13808,28.94,37.48,46.59,53.98,60.92
서울특별시,서대문구,홍은제2동,26361,7394,9495,11921,13916,15597,28.05,36.02,45.22,52.79,59.17
서울특별시,서대문구,남가좌제1동,15394,3060,4021,5224,6625,8333,19.88,26.12,33.94,43.04,54.13
서울특별시,서대문구,남가좌제2동,29697,6863,8830,11288,13706,16211,23.11,29.73,38.01,46.15,54.59
서울특별시,서대문구,북가좌제1동,17904,4307,5630,7266,8915,10420,24.06,31.45,40.58,49.79,58.20
서울특별시,서대문구,북가좌제2동,31371,9080,11618,14378,16872,19124,28.94,37.03,45.83,53.78,60.96
서울특별시,마포구,아현동,25095,4890,6726,8723,10710,13095,19.49,26.80,34.76,42.68,52.18
서울특별시,마포구,공덕동,37099,8705,11723,14965,17590,20201,23.46,31.60,40.34,47.41,54.45
서울특별시,마포구,도화동,21019,5358,6991,8745,10277,11776,25.49,33.26,41.61,48.89,56.03
서울특별시,마포구,용강동,21534,4211,5572,7332,9454,11656,19.56,25.88,34.05,43.90,54.13
서울특별시,마포구,대흥동,14549,2944,3856,5008,6075,7003,20.24,26.50,34.42,41.76,48.13
서울특별시,마포구,염리동,16849,3043,4105,5538,7072,8676,18.06,24.36,32.87,41.97,51.49
