순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
26,9791190090018,S000001935245,우리가 빛의 속도로 갈 수 없다면,"14,000","12,600",10%,5%,700,김초엽,허블,20190624,소설
27,9788932920337,S000000582066,기억 1,"14,800","13,320",10%,5%,740,베르나르 베르베르,열린책들,20200530,소설
28,9791187119845,S000001897363,나는 나로 살기로 했다,"13,800","12,420",10%,5%,690,김수현,마음의숲,20200316,시/에세이
29,9788952791160,S000000735302,날씨가 좋으면 찾아가겠어요,"13,800","12,420",10%,5%,690,이도우,시공사,20180628,소설
30,9788994702346,S000001554502,부의 추월차선,"15,000","13,500",10%,5%,750,엠제이 드마코,토트,20130820,경제/경영
31,9788934972464,S000000597165,사피엔스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20151124,인문
32,9791190242271,S000001937724,재무제표 모르면 주식투자 절대로 하지마라,"19,800","17,820",10%,5%,990,사경인,베가북스,20200110,경제/경영
34,9788993178692,S000001519705,지리의 힘,"20,000","18,000",10%,5%,"1,000",팀 마샬,사이,20160810,정치/사회
35,9791196831080,S000001981134,부의 대이동,"17,000","15,300",10%,5%,850,오건영,페이지2북스,20200723,경제/경영
36,9788937462672,S000000620404,페스트,"14,000","12,600",10%,5%,700,알베르 카뮈,민음사,20110403,소설
37,9791187142560,S000001897788,데일 카네기 인간관계론,"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20191007,자기계발
38,9791158740757,S000001771345,코로나 이후의 세계,"14,800","13,320",10%,1%,140,제이슨 솅커,미디어숲,20200530,경제/경영
39,9791190786355,S000001943769,보통의 언어들,"14,500","13,050",10%,5%,720,김이나,위즈덤하우스,20200527,시/에세이
40,9791188388905,S000001913906,에이트,"17,000","15,300",10%,5%,850,이지성,차이정원,20191021,자기계발
41,9791190313186,S000001938774,지적 대화를 위한 넓고 얕은 지식 1,"16,000","14,400",10%,5%,800,채사장,웨일북(whalebooks),20200205,인문
42,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
43,9791190456098,S000001940454,성숙한 어른이 갖춰야 할 좋은 심리 습관,"15,000","13,500",10%,5%,750,류쉬안,다연,20200511,자기계발
44,9788934992493,S000000598167,죽은 자의 집 청소,"13,800","12,420",10%,5%,690,김완,김영사,20200530,시/에세이
45,9791159920257,S000001786520,아내를 모자로 착각한 남자,"21,000","18,900",10%,5%,"1,050",올리버 색스,알마,20221223,과학
46,9788965963790,S000001029370,룬샷,"18,000","16,200",10%,5%,900,사피 바칼,흐름출판,20200427,경제/경영
48,9791190538015,S000001941401,딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션),"16,000","14,400",10%,5%,800,한성희,메이븐,20200128,인문
49,9788998274931,S000001629834,봉제인형 살인사건,"15,000","13,500",10%,5%,750,다니엘 콜,북플라자,20171020,소설
50,9791130604626,S000001686280,이토록 공부가 재미있어지는 순간(30만부 기념 매직 에디션),"15,000","13,500",10%,5%,750,박성혁,다산북스,20200727,청소년
51,9791157280292,S000001752581,꽃을 보듯 너를 본다,"11,000","9,900",10%,5%,550,나태주,지혜,20201130,시/에세이
52,9788995563502,S000001575417,부의 인문학,"15,000","13,500",10%,5%,750,브라운스톤(우석),오픈마인드,20191004,경제/경영
53,9791187993681,S000001908655,내일의 부 1: 알파편,"16,000","14,400",10%,5%,800,김장섭(조던),트러스트북스,20200116,경제/경영
54,9791197080890,S000001983545,만남은 지겹고 이별은 지쳤다,"13,800","12,420",10%,5%,690,색과 체,떠오름(RISE),20200623,시/에세이
55,9791164134090,S000001825959,추리 천재 엉덩이 탐정 9: 세 마리 행운 고양이 사건,"12,000","10,800",10%,5%,600,트롤,미래엔아이세움,20200115,어린이(초등)
56,9791165382650,S000001836264,설민석의 한국사 대모험 13,"12,000","10,800",10%,5%,600,설민석 외,아이휴먼,20200323,어린이(초등)
57,9788959896127,S000000912567,트렌드 코리아 2020,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20191024,경제/경영
58,9788954655972,S000000780352,여행의 이유,"13,500","12,150",10%,5%,670,김영하,문학동네,20190417,시/에세이
59,9788933870792,S000000588837,설민석의 삼국지 1,"22,000","19,800",10%,5%,"1,100",설민석,세계사,20190717,인문
60,9788967358020,S000001046848,매우 예민한 사람들을 위한 책(10만 부 기념 리커버),"18,000","16,200",10%,5%,900,전홍진,글항아리,20200723,인문
61,9788934985747,S000000597820,타인의 해석,"18,500","16,650",10%,5%,920,말콤 글래드웰,김영사,20200323,자기계발
62,9788933870693,S000000588832,설민석의 조선왕조실록,"22,000","19,800",10%,5%,"1,100",설민석,세계사,20160720,역사/문화
63,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
64,9788973814725,S000001144035,멋진 신세계,"13,800","12,420",10%,5%,690,올더스 헉슬리,소담출판사,20150612,소설
66,9788954672214,S000000780616,"시선으로부터,","14,000","12,600",10%,5%,700,정세랑,문학동네,20200605,소설
67,9788932473901,S000000576524,이기적 유전자(40주년 기념판),"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20181020,과학
68,9788965423379,S000001020255,해커스 토익 스타트 리딩(Reading) RC,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20220221,외국어
69,9788968331862,S000001056702,방구석 미술관,"16,800","15,120",10%,5%,840,조원재,블랙피쉬,20211221,예술/대중문화
70,9788972756194,S000001123530,나미야 잡화점의 기적,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20121219,소설
71,9788936477196,S000000612820,선량한 차별주의자,"15,000","13,500",10%,5%,750,김지혜,창비,20190717,정치/사회
